cohens_d_r;variable;study
0,54;SAI_SA;1
0,24;AFI_SA;1
0,54;CFI_SA;1
-0,48;FSI_SA;1
0,98;SAC_SA;1
0,56;AFC_SA;1
0,96;CFC_SA;1
0,14;FSC_SA;1
0,14;SAI_VI;1
0,42;AFI_VI;1
0,44;CFI_VI;1
-0,26;FSI_VI;1
0,90;SAC_VI;1
0,74;AFC_VI;1
0,64;CFC_VI;1
0,24;FSC_VI;1
0,52;SAI_SA;2
0,26;AFI_SA;2
0,12;CFI_SA;2
-0,22;FSI_SA;2
1,12;SAC_SA;2
0,70;AFC_SA;2
0,52;CFC_SA;2
0,26;FSC_SA;2
0,32;SAI_VI;2
0,20;AFI_VI;2
0,42;CFI_VI;2
0,02;FSI_VI;2
1,10;SAC_VI;2
0,84;AFC_VI;2
0,66;CFC_VI;2
0,22;FSC_VI;2
-0,26;SAI_DP;2
-0,34;AFI_DP;2
-0,20;CFI_DP;2
0,18;FSI_DP;2
-0,76;SAC_DP;2
-0,72;AFC_DP;2
-0,28;CFC_DP;2
-0,22;FSC_DP;2
-0,28;SAI_AN;2
-0,44;AFI_AN;2
-0,10;CFI_AN;2
0,36;FSI_AN;2
-1,00;SAC_AN;2
-0,96;AFC_AN;2
-0,30;CFC_AN;2
-0,08;FSC_AN;2
