"";"variable";"mm";"sdm";"nm";"mf";"sdf";"nf";"study";"t";"delta";"es";"var";"se";"ci.lo";"ci.hi"
"1";"SAI";4,6;0,41;42;4,7;0,32;76;1;-2,12;-0,100000000000001;-0,282142118624172;0,03731053999077;0,193159364232672;-0,660734472520209;0,0964502352718646
"2";"AFI";4,6;0,45;42;4,8;0,25;76;1;-2,32;-0,2;-0,597660308616664;0,0385070644278132;0,196232169706736;-0,982275361241867;-0,213045255991462
"3";"CFI";4,1;0,53;42;4,4;0,46;76;1;-3,09;-0,300000000000001;-0,617417324303597;0,038610539892703;0,19649564853376;-1,00254879542977;-0,232285853177427
"4";"FSI";4;0,64;42;3,5;0,85;76;1;2,76;0,5;0,639186562439449;0,0387284507084485;0,196795453983187;0,253467472632403;1,02490565224649
"5";"SAC";4,1;0,53;42;4,1;0,51;76;1;-0,23;0;0;0,0369674185463659;0,192269130508165;-0,376847495796004;0,376847495796004
"6";"AFC";4,3;0,61;42;4,5;0,49;76;1;-1,71;-0,2;-0,373486033046639;0,0375686763777492;0,193826407844105;-0,753385792421084;0,0064137263278059
"7";"CFC";3,9;0,56;42;4,1;0,55;76;1;-2,28;-0,2;-0,361300963802013;0,0375300840051774;0,193726828305161;-0,741005547280129;0,018403619676103
"8";"FSC";3,8;0,66;42;3,5;0,62;76;1;2,21;0,3;0,472868269313313;0,0379312306158632;0,194759417271318;0,0911398114615303;0,854596727165095
"9";"SAI";3,9;0,31;65;3,8;0,34;133;2;0,63;0,1;0,302568532587313;0,02313695247126;0,152108357664068;0,00443615156573973;0,600700913608885
"10";"AFI";3,8;0,36;65;3,9;0,27;133;2;-0,73;-0,1;-0,330744754326438;0,0231824738375926;0,152257918800937;-0,629170275176274;-0,0323192334766015
"11";"CFI";3,3;0,61;65;3,4;0,47;133;2;-1,08;-0,1;-0,192353428431237;0,0229977997276814;0,151650254624519;-0,489587927495294;0,10488107063282
"12";"FSI";3,3;0,67;65;3,1;0,62;133;2;1,96;0,2;0,314090884000457;0,0231550784062093;0,152167928310171;0,0158417445125218;0,612340023488392
"13";"SAC";3,5;0,45;65;3,3;0,5;133;2;1,77;0,2;0,41301708893559;0,0233385733866701;0,152769674303083;0,113588527301547;0,712445650569633
"14";"AFC";3,6;0,43;65;3,5;0,48;133;2;0,83;0,1;0,215393792120357;0,0230217656569027;0,151729251157787;-0,0819955401489051;0,512783124389618
"15";"CFC";3,1;0,56;65;3,2;0,52;133;2;-0,63;-0,1;-0,18747967486149;0,0229930772456838;0,151634683518263;-0,484683654557286;0,109724304834305
"16";"FSC";3,2;0,55;65;2,9;0,57;133;2;2,68;0,3;0,532342053303722;0,023626341105963;0,153708624045507;0,231073150174529;0,833610956432915
